                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     1.00000 solar
                                             L    =     0.90000 solar
                                             R    =     1.08572 solar
                                             Teff =  5400.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 # zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps  rc_flag  dlnPdlnT
    0  0.755E+09  0.000E+00  0.000E+00  0.345E+27  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  r 99.9
    1  0.754E+09  0.126E+00  0.380E-13  0.345E+27  0.309E+04  0.601E+00  0.140E-07  0.238E+02  0.135-107  r  1.0
    2  0.754E+09  0.275E+00  0.105E-12  0.345E+27  0.836E+04  0.496E+01  0.381E-07  0.167E+01  0.512E-79  c  1.7
    3  0.754E+09  0.299E+00  0.178E-12  0.345E+27  0.136E+05  0.972E+01  0.599E-08  0.101E+00  0.449E-69  c  1.4
    4  0.753E+09  0.306E+00  0.317E-12  0.345E+27  0.189E+05  0.189E+02  0.829E-07  0.208E+00  0.114E-61  c  2.3
    5  0.752E+09  0.313E+00  0.526E-12  0.345E+27  0.216E+05  0.326E+02  0.121E-07  0.715E-01  0.167E-62  r 99.9
    6  0.751E+09  0.314E+00  0.776E-12  0.345E+27  0.216E+05  0.491E+02  0.151E-07  0.622E-01  0.430E-60  r 99.9
    7  0.751E+09  0.314E+00  0.971E-12  0.345E+27  0.216E+05  0.620E+02  0.219E-08  0.400E-01  0.624E-61  r 99.9
    8  0.750E+09  0.316E+00  0.105E-11  0.345E+27  0.216E+05  0.670E+02  0.464E-07  0.103E+00  0.132E-59  r 99.9
    9  0.749E+09  0.322E+00  0.121E-11  0.345E+27  0.216E+05  0.779E+02  0.805E-07  0.142E+00  0.229E-59  r 99.9
   10  0.748E+09  0.338E+00  0.150E-11  0.345E+27  0.216E+05  0.978E+02  0.151E-06  0.212E+00  0.429E-59  r 99.9
   11  0.748E+09  0.385E+00  0.206E-11  0.345E+27  0.216E+05  0.135E+03  0.280E-06  0.326E+00  0.799E-59  r 99.9
   12  0.747E+09  0.521E+00  0.308E-11  0.345E+27  0.216E+05  0.205E+03  0.522E-06  0.515E+00  0.150E-58  r 99.9
   13  0.746E+09  0.927E+00  0.499E-11  0.345E+27  0.216E+05  0.334E+03  0.974E-06  0.826E+00  0.282E-58  r 99.9
   14  0.745E+09  0.215E+01  0.855E-11  0.345E+27  0.216E+05  0.577E+03  0.182E-05  0.134E+01  0.544E-58  r 99.9
   15  0.745E+09  0.583E+01  0.152E-10  0.345E+27  0.217E+05  0.103E+04  0.339E-05  0.216E+01  0.112E-57  r 99.9
   16  0.744E+09  0.167E+02  0.274E-10  0.345E+27  0.218E+05  0.188E+04  0.627E-05  0.343E+01  0.277E-57  r 80.3
   17  0.743E+09  0.469E+02  0.499E-10  0.345E+27  0.222E+05  0.343E+04  0.114E-04  0.514E+01  0.109E-56  r 30.0
   18  0.742E+09  0.120E+03  0.898E-10  0.345E+27  0.232E+05  0.619E+04  0.198E-04  0.686E+01  0.105E-55  r 13.2
   19  0.742E+09  0.268E+03  0.157E-09  0.345E+27  0.249E+05  0.109E+05  0.324E-04  0.791E+01  0.273E-54  r  7.6
   20  0.741E+09  0.518E+03  0.263E-09  0.345E+27  0.273E+05  0.183E+05  0.498E-04  0.816E+01  0.120E-52  r  5.6
   21  0.740E+09  0.892E+03  0.421E-09  0.345E+27  0.299E+05  0.294E+05  0.731E-04  0.800E+01  0.515E-51  r  4.9
   22  0.739E+09  0.141E+04  0.649E-09  0.345E+27  0.327E+05  0.455E+05  0.103E-03  0.770E+01  0.170E-49  r  4.7
   23  0.739E+09  0.211E+04  0.965E-09  0.345E+27  0.356E+05  0.678E+05  0.141E-03  0.738E+01  0.413E-48  r  4.6
   24  0.738E+09  0.301E+04  0.139E-08  0.345E+27  0.386E+05  0.981E+05  0.189E-03  0.707E+01  0.751E-47  r  4.5
   25  0.737E+09  0.414E+04  0.195E-08  0.345E+27  0.415E+05  0.138E+06  0.247E-03  0.678E+01  0.106E-45  r  4.5
   26  0.736E+09  0.556E+04  0.268E-08  0.345E+27  0.445E+05  0.190E+06  0.318E-03  0.652E+01  0.119E-44  r  4.5
   27  0.735E+09  0.729E+04  0.360E-08  0.345E+27  0.475E+05  0.257E+06  0.402E-03  0.627E+01  0.111E-43  r  4.5
   28  0.735E+09  0.939E+04  0.476E-08  0.345E+27  0.505E+05  0.340E+06  0.501E-03  0.605E+01  0.869E-43  r  4.5
   29  0.734E+09  0.119E+05  0.619E-08  0.345E+27  0.535E+05  0.444E+06  0.617E-03  0.585E+01  0.588E-42  r  4.5
   30  0.733E+09  0.149E+05  0.794E-08  0.345E+27  0.565E+05  0.572E+06  0.752E-03  0.566E+01  0.349E-41  r  4.5
   31  0.732E+09  0.184E+05  0.101E-07  0.345E+27  0.596E+05  0.726E+06  0.907E-03  0.549E+01  0.185E-40  r  4.5
   32  0.732E+09  0.224E+05  0.126E-07  0.345E+27  0.626E+05  0.913E+06  0.108E-02  0.533E+01  0.882E-40  r  4.6
   33  0.731E+09  0.271E+05  0.156E-07  0.345E+27  0.656E+05  0.113E+07  0.129E-02  0.518E+01  0.384E-39  r  4.6
   34  0.730E+09  0.325E+05  0.192E-07  0.345E+27  0.687E+05  0.140E+07  0.151E-02  0.504E+01  0.154E-38  r  4.6
   35  0.729E+09  0.387E+05  0.233E-07  0.345E+27  0.717E+05  0.171E+07  0.177E-02  0.491E+01  0.573E-38  r  4.6
   36  0.729E+09  0.457E+05  0.282E-07  0.345E+27  0.748E+05  0.207E+07  0.206E-02  0.479E+01  0.199E-37  r  4.6
   37  0.728E+09  0.536E+05  0.337E-07  0.345E+27  0.778E+05  0.249E+07  0.238E-02  0.468E+01  0.650E-37  r  4.6
   38  0.727E+09  0.626E+05  0.402E-07  0.345E+27  0.809E+05  0.297E+07  0.273E-02  0.457E+01  0.201E-36  r  4.6
   39  0.726E+09  0.726E+05  0.475E-07  0.345E+27  0.840E+05  0.353E+07  0.313E-02  0.447E+01  0.588E-36  r  4.6
   40  0.726E+09  0.837E+05  0.559E-07  0.345E+27  0.871E+05  0.417E+07  0.356E-02  0.438E+01  0.164E-35  r  4.6
   41  0.725E+09  0.962E+05  0.654E-07  0.345E+27  0.902E+05  0.489E+07  0.404E-02  0.429E+01  0.440E-35  r  4.6
   42  0.724E+09  0.110E+06  0.762E-07  0.345E+27  0.933E+05  0.571E+07  0.456E-02  0.420E+01  0.113E-34  r  4.6
   43  0.723E+09  0.125E+06  0.882E-07  0.345E+27  0.964E+05  0.664E+07  0.513E-02  0.412E+01  0.279E-34  r  4.6
   44  0.723E+09  0.142E+06  0.102E-06  0.345E+27  0.995E+05  0.768E+07  0.575E-02  0.405E+01  0.666E-34  r  4.6
   45  0.722E+09  0.160E+06  0.117E-06  0.345E+27  0.103E+06  0.886E+07  0.643E-02  0.397E+01  0.154E-33  r  4.6
   46  0.721E+09  0.181E+06  0.134E-06  0.345E+27  0.106E+06  0.102E+08  0.716E-02  0.390E+01  0.345E-33  r  4.6
   47  0.720E+09  0.203E+06  0.152E-06  0.345E+27  0.109E+06  0.116E+08  0.795E-02  0.383E+01  0.750E-33  r  4.6
   48  0.720E+09  0.227E+06  0.173E-06  0.345E+27  0.112E+06  0.132E+08  0.881E-02  0.377E+01  0.159E-32  r  4.6
   49  0.719E+09  0.253E+06  0.196E-06  0.345E+27  0.115E+06  0.150E+08  0.973E-02  0.371E+01  0.328E-32  r  4.6
   50  0.718E+09  0.281E+06  0.221E-06  0.345E+27  0.118E+06  0.170E+08  0.107E-01  0.365E+01  0.663E-32  r  4.6
   51  0.717E+09  0.312E+06  0.249E-06  0.345E+27  0.121E+06  0.192E+08  0.118E-01  0.359E+01  0.131E-31  r  4.6
   52  0.717E+09  0.345E+06  0.279E-06  0.345E+27  0.125E+06  0.216E+08  0.129E-01  0.354E+01  0.253E-31  r  4.6
   53  0.716E+09  0.381E+06  0.312E-06  0.345E+27  0.128E+06  0.243E+08  0.142E-01  0.349E+01  0.478E-31  r  4.6
   54  0.715E+09  0.420E+06  0.348E-06  0.345E+27  0.131E+06  0.272E+08  0.155E-01  0.344E+01  0.889E-31  r  4.6
   55  0.714E+09  0.462E+06  0.387E-06  0.345E+27  0.134E+06  0.304E+08  0.169E-01  0.339E+01  0.162E-30  r  4.6
   56  0.714E+09  0.506E+06  0.430E-06  0.345E+27  0.137E+06  0.338E+08  0.184E-01  0.334E+01  0.291E-30  r  4.6
   57  0.713E+09  0.554E+06  0.476E-06  0.345E+27  0.141E+06  0.376E+08  0.199E-01  0.330E+01  0.515E-30  r  4.6
   58  0.712E+09  0.606E+06  0.527E-06  0.345E+27  0.144E+06  0.417E+08  0.216E-01  0.325E+01  0.895E-30  r  4.6
   59  0.711E+09  0.661E+06  0.581E-06  0.345E+27  0.147E+06  0.462E+08  0.234E-01  0.321E+01  0.153E-29  r  4.6
   60  0.711E+09  0.719E+06  0.639E-06  0.345E+27  0.150E+06  0.510E+08  0.253E-01  0.317E+01  0.259E-29  r  4.6
   61  0.710E+09  0.782E+06  0.703E-06  0.345E+27  0.153E+06  0.563E+08  0.273E-01  0.313E+01  0.433E-29  r  4.6
   62  0.709E+09  0.849E+06  0.771E-06  0.345E+27  0.157E+06  0.620E+08  0.295E-01  0.309E+01  0.713E-29  r  4.6
   63  0.708E+09  0.919E+06  0.844E-06  0.345E+27  0.160E+06  0.681E+08  0.317E-01  0.305E+01  0.116E-28  r  4.6
   64  0.708E+09  0.995E+06  0.922E-06  0.345E+27  0.163E+06  0.747E+08  0.341E-01  0.302E+01  0.187E-28  r  4.6
   65  0.707E+09  0.107E+07  0.101E-05  0.345E+27  0.166E+06  0.818E+08  0.366E-01  0.298E+01  0.297E-28  r  4.6
   66  0.706E+09  0.116E+07  0.110E-05  0.345E+27  0.170E+06  0.894E+08  0.393E-01  0.295E+01  0.467E-28  r  4.6
   67  0.705E+09  0.125E+07  0.119E-05  0.345E+27  0.173E+06  0.976E+08  0.420E-01  0.292E+01  0.728E-28  r  4.6
   68  0.705E+09  0.135E+07  0.130E-05  0.345E+27  0.176E+06  0.106E+09  0.450E-01  0.288E+01  0.112E-27  r  4.6
   69  0.704E+09  0.145E+07  0.141E-05  0.345E+27  0.180E+06  0.116E+09  0.481E-01  0.285E+01  0.172E-27  r  4.6
   70  0.703E+09  0.155E+07  0.152E-05  0.345E+27  0.183E+06  0.126E+09  0.513E-01  0.282E+01  0.260E-27  r  4.6
   71  0.702E+09  0.166E+07  0.165E-05  0.345E+27  0.186E+06  0.137E+09  0.547E-01  0.279E+01  0.391E-27  r  4.6
   72  0.702E+09  0.178E+07  0.178E-05  0.345E+27  0.189E+06  0.148E+09  0.583E-01  0.276E+01  0.582E-27  r  4.6
   73  0.701E+09  0.191E+07  0.192E-05  0.345E+27  0.193E+06  0.160E+09  0.620E-01  0.274E+01  0.860E-27  r  4.6
   74  0.700E+09  0.204E+07  0.207E-05  0.345E+27  0.196E+06  0.174E+09  0.660E-01  0.271E+01  0.126E-26  r  4.6
   75  0.699E+09  0.218E+07  0.223E-05  0.345E+27  0.199E+06  0.188E+09  0.701E-01  0.268E+01  0.184E-26  r  4.6
   76  0.698E+09  0.232E+07  0.240E-05  0.345E+27  0.203E+06  0.202E+09  0.744E-01  0.266E+01  0.265E-26  r  4.6
   77  0.698E+09  0.248E+07  0.257E-05  0.345E+27  0.206E+06  0.218E+09  0.789E-01  0.263E+01  0.381E-26  r  4.6
   78  0.697E+09  0.264E+07  0.276E-05  0.345E+27  0.209E+06  0.235E+09  0.836E-01  0.261E+01  0.543E-26  r  4.6
   79  0.696E+09  0.281E+07  0.296E-05  0.345E+27  0.213E+06  0.253E+09  0.885E-01  0.258E+01  0.768E-26  r  4.6
   80  0.695E+09  0.298E+07  0.317E-05  0.345E+27  0.216E+06  0.272E+09  0.937E-01  0.256E+01  0.108E-25  r  4.6
   81  0.695E+09  0.317E+07  0.339E-05  0.345E+27  0.220E+06  0.292E+09  0.990E-01  0.254E+01  0.151E-25  r  4.6
   82  0.694E+09  0.336E+07  0.363E-05  0.345E+27  0.223E+06  0.313E+09  0.105E+00  0.251E+01  0.210E-25  r  4.6
   83  0.693E+09  0.357E+07  0.387E-05  0.345E+27  0.226E+06  0.335E+09  0.110E+00  0.249E+01  0.291E-25  r  4.6
